category,brand,product_id,sku,title,product_url,image_number,thumbnail_url,full_size_url
Pathfinder 1E,Pathfinder 1E,10647,PZOPSS0600E,PFS #6–00: Legacy of the Stonelords,https://store.paizo.com/pathfinder-society-scenario-6-00-legacy-of-the-stonelords-pfrpg-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/10647/7399/PZOPSS0600E_500__11790.1755903833.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/10647/7399/PZOPSS0600E_500__11790.1755903833.jpg?c=1
Pathfinder 1E,Pathfinder 1E,10646,,Season 5: Year of the Demon,https://store.paizo.com/pathfinder/pathfinder-society/first-edition-scenarios/season-5-year-of-the-demon/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/1280x1280/d/pzopss0501e__33617.original.jpg,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/d/pzopss0501e__33617.original.jpg
Pathfinder 1E,Pathfinder 1E,10646,PZOPSS0599E,PFS #5–99: The Paths We Choose,https://store.paizo.com/pathfinder-society-scenario-5-99-the-paths-we-choose-pfrpg-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/10646/7398/PZOPSS0599E__56769.1755901023.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/10646/7398/PZOPSS0599E__56769.1755901023.jpg?c=1
Pathfinder 1E,Pathfinder 1E,10619,PZOPSS0500-2E,PFS Special: Ruins of Bonekeep—Level 3: The Wakening Tomb,https://store.paizo.com/pathfinder-society-special-ruins-of-bonekeep-level-3-the-wakening-tomb-pfrpg-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/10619/7371/PZOPSS0500-2E__04642.1755902379.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/10619/7371/PZOPSS0500-2E__04642.1755902379.jpg?c=1
Pathfinder 1E,Pathfinder 1E,10617,,Season 4: Year of the Risen Rune,https://store.paizo.com/pathfinder/pathfinder-society/first-edition-scenarios/season-4-year-of-the-risen-rune/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/1280x1280/h/pzopss0401e_500__32535.original.jpeg,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/h/pzopss0401e_500__32535.original.jpeg
Pathfinder 1E,Pathfinder 1E,10589,,Season 3: Year of the Ruby Phoenix,https://store.paizo.com/pathfinder/pathfinder-society/first-edition-scenarios/season-3-year-of-the-ruby-phoenix/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/1280x1280/q/pzopss0301e_500__11061.original.jpeg,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/q/pzopss0301e_500__11061.original.jpeg
Pathfinder 1E,Pathfinder 1E,10563,PZOPSS0300-1E,PFS Special: Blood Under Absalom,https://store.paizo.com/pathfinder-society-special-blood-under-absalom-pfrpg-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/10563/7315/PZOPSS0300-1E_500__71642.1755892519.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/10563/7315/PZOPSS0300-1E_500__71642.1755892519.jpg?c=1
Pathfinder 1E,Pathfinder 1E,10562,,Season 2: Year of the Shadow Lodge,https://store.paizo.com/pathfinder/pathfinder-society/first-edition-scenarios/season-2-year-of-the-shadow-lodge/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/1280x1280/k/pzopss0201e_500__16498.original.jpeg,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/k/pzopss0201e_500__16498.original.jpeg
Pathfinder 1E,Pathfinder 1E,10558,PZOPSS0222E,"PFS #2-22: Eyes of the Ten—Part IV: Nothing Ventured, Nothing Gained",https://store.paizo.com/pathfinder-society-scenario-2-22-eyes-of-the-ten-part-iv-nothing-ventured-nothing-gained-pfrpg-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/10558/7310/PZOPSS0222E_500__68315.1755892213.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/10558/7310/PZOPSS0222E_500__68315.1755892213.jpg?c=1
Pathfinder 1E,Pathfinder 1E,10557,PZOPSS0221E,PFS #2-21: The Dalsine Affair,https://store.paizo.com/pathfinder-society-scenario-2-21-the-dalsine-affair-pfrpg-pdf/,1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/320w/products/10557/7309/PZOPSS0221E_500__60601.1755892147.jpg?c=1,https://cdn11.bigcommerce.com/s-e0sdfpgiwh/images/stencil/original/products/10557/7309/PZOPSS0221E_500__60601.1755892147.jpg?c=1
